cliente_id,idade,estado_residencia,qtd_produtos_adquiridos,categoria_fidelidade
CLI-7289,37,Minas Gerais (MG),4,Gold
CLI-1174,42,Rio de Janeiro (RJ),1,Silver
CLI-5280,25,Paraná (PR),4,Gold
CLI-7049,45,Paraná (PR),4,Gold
CLI-2372,29,Bahia (BA),4,Gold
CLI-4197,38,Paraná (PR),1,Silver
CLI-7227,62,Minas Gerais (MG),1,Silver
CLI-6448,31,Bahia (BA),2,Silver
CLI-3920,41,São Paulo (SP),4,Gold
CLI-4178,53,Minas Gerais (MG),4,Gold
CLI-1329,59,São Paulo (SP),2,Silver
CLI-8329,30,São Paulo (SP),1,Silver
CLI-1238,50,Minas Gerais (MG),1,Silver
CLI-1321,27,Rio de Janeiro (RJ),2,Silver
CLI-4993,40,Paraná (PR),3,Gold
CLI-2237,48,Rio de Janeiro (RJ),3,Gold
CLI-3786,42,Bahia (BA),1,Silver
CLI-9607,36,Rio de Janeiro (RJ),3,Gold
CLI-7905,38,Bahia (BA),1,Silver
CLI-5127,57,Bahia (BA),4,Gold
CLI-8785,22,Paraná (PR),1,Silver
CLI-4418,25,Rio de Janeiro (RJ),4,Gold
CLI-4952,27,Rio de Janeiro (RJ),2,Silver
CLI-2181,48,Bahia (BA),3,Gold
CLI-5918,45,Minas Gerais (MG),4,Gold
CLI-7000,44,Rio de Janeiro (RJ),3,Gold
CLI-4420,30,Minas Gerais (MG),1,Silver
CLI-2096,64,Paraná (PR),3,Gold
CLI-4439,59,Paraná (PR),2,Silver
CLI-3367,36,São Paulo (SP),4,Gold
CLI-2131,30,Bahia (BA),1,Silver
CLI-7775,64,Paraná (PR),3,Gold
CLI-8987,30,São Paulo (SP),1,Silver
CLI-7652,32,São Paulo (SP),3,Gold
CLI-2111,38,Rio de Janeiro (RJ),1,Silver
CLI-6753,48,São Paulo (SP),4,Gold
CLI-2414,30,São Paulo (SP),1,Silver
CLI-5285,21,São Paulo (SP),4,Gold
CLI-9935,41,Rio de Janeiro (RJ),4,Gold
CLI-6646,63,Rio de Janeiro (RJ),2,Silver
CLI-8602,62,São Paulo (SP),1,Silver
CLI-4480,30,Bahia (BA),1,Silver
CLI-5340,54,Paraná (PR),1,Silver
CLI-7487,21,Paraná (PR),4,Gold
CLI-1806,35,São Paulo (SP),4,Gold
CLI-9681,65,Minas Gerais (MG),4,Gold
CLI-6319,24,São Paulo (SP),3,Gold
CLI-3522,49,Minas Gerais (MG),4,Gold
CLI-6819,56,Bahia (BA),3,Gold
CLI-9215,26,Rio de Janeiro (RJ),1,Silver
CLI-7203,52,Minas Gerais (MG),3,Gold
CLI-1214,31,São Paulo (SP),2,Silver
CLI-7424,54,São Paulo (SP),4,Gold
CLI-6618,63,Rio de Janeiro (RJ),2,Silver
CLI-6635,39,Minas Gerais (MG),2,Silver
CLI-1227,22,Paraná (PR),1,Silver
CLI-2364,54,Rio de Janeiro (RJ),1,Silver
CLI-6074,29,Minas Gerais (MG),4,Gold
CLI-9325,23,Bahia (BA),2,Silver
CLI-1264,20,Rio de Janeiro (RJ),3,Gold
CLI-4911,61,Bahia (BA),4,Gold
CLI-4377,55,São Paulo (SP),4,Gold
CLI-3747,26,São Paulo (SP),1,Silver
CLI-7917,29,São Paulo (SP),4,Gold
CLI-3334,50,Minas Gerais (MG),1,Silver
CLI-7792,27,Paraná (PR),2,Silver
CLI-5532,36,Bahia (BA),3,Gold
CLI-5167,60,Bahia (BA),3,Gold
CLI-6714,35,Bahia (BA),2,Silver
CLI-7762,55,Rio de Janeiro (RJ),2,Silver
CLI-9548,61,Minas Gerais (MG),4,Gold
CLI-3501,60,Rio de Janeiro (RJ),3,Gold
CLI-3097,53,Paraná (PR),4,Gold
CLI-4874,55,Minas Gerais (MG),2,Silver
CLI-7040,24,Paraná (PR),3,Gold
CLI-3975,57,Rio de Janeiro (RJ),4,Gold
CLI-5249,21,São Paulo (SP),4,Gold
CLI-1749,37,Bahia (BA),4,Gold
CLI-5370,61,Minas Gerais (MG),4,Gold
CLI-2931,23,São Paulo (SP),2,Silver
CLI-4298,56,Bahia (BA),3,Gold
CLI-4534,53,Minas Gerais (MG),4,Gold
CLI-2193,32,São Paulo (SP),3,Gold
CLI-9180,48,Rio de Janeiro (RJ),3,Gold
CLI-4502,36,Rio de Janeiro (RJ),3,Gold
CLI-6589,35,Rio de Janeiro (RJ),2,Silver
CLI-3766,35,Minas Gerais (MG),2,Silver
CLI-3070,29,Bahia (BA),4,Gold
CLI-7307,59,São Paulo (SP),2,Silver
CLI-4989,65,Rio de Janeiro (RJ),4,Gold
CLI-7891,24,São Paulo (SP),3,Gold
CLI-8454,63,Paraná (PR),2,Silver
CLI-7791,19,Paraná (PR),2,Silver
CLI-2740,24,Rio de Janeiro (RJ),3,Gold
CLI-1521,56,Bahia (BA),3,Gold
CLI-8614,58,Paraná (PR),1,Silver
CLI-7713,41,São Paulo (SP),4,Gold
