cliente_id,idade,estado_residencia,qtd_produtos_adquiridos,categoria_fidelidade
CLI-62574,64,Rio de Janeiro (RJ),3,Gold
CLI-21399,23,Bahia (BA),2,Silver
CLI-56132,46,São Paulo (SP),4,Gold
CLI-99783,41,Bahia (BA),4,Gold
CLI-53344,37,Minas Gerais (MG),4,Gold
CLI-29268,62,Rio de Janeiro (RJ),1,Silver
CLI-10206,58,Bahia (BA),1,Silver
CLI-48855,58,Paraná (PR),1,Silver
CLI-44018,20,São Paulo (SP),3,Gold
CLI-11327,41,Rio de Janeiro (RJ),4,Gold
CLI-20942,30,Paraná (PR),1,Silver
CLI-81117,54,São Paulo (SP),4,Gold
CLI-38827,24,Paraná (PR),3,Gold
CLI-13814,28,Rio de Janeiro (RJ),3,Gold
CLI-97255,30,Rio de Janeiro (RJ),1,Silver
CLI-21390,25,São Paulo (SP),4,Gold
CLI-16649,63,Rio de Janeiro (RJ),2,Silver
CLI-18632,51,São Paulo (SP),4,Gold
CLI-28957,55,Bahia (BA),2,Silver
CLI-20308,50,Bahia (BA),1,Silver
CLI-71092,34,Bahia (BA),1,Silver
CLI-79548,38,Bahia (BA),1,Silver
CLI-11173,57,Bahia (BA),4,Gold
CLI-83401,35,Minas Gerais (MG),2,Silver
CLI-93046,40,Rio de Janeiro (RJ),3,Gold
CLI-33089,39,São Paulo (SP),4,Gold
CLI-35166,34,Paraná (PR),1,Silver
CLI-20937,37,São Paulo (SP),4,Gold
CLI-17674,65,Rio de Janeiro (RJ),4,Gold
CLI-28156,62,Bahia (BA),1,Silver
CLI-19060,42,Bahia (BA),1,Silver
CLI-40393,59,Rio de Janeiro (RJ),2,Silver
CLI-13702,26,Bahia (BA),1,Silver
CLI-44994,36,São Paulo (SP),4,Gold
CLI-98519,53,São Paulo (SP),4,Gold
CLI-83690,36,São Paulo (SP),4,Gold
CLI-38038,55,São Paulo (SP),4,Gold
CLI-66836,20,Minas Gerais (MG),3,Gold
CLI-16509,22,Bahia (BA),1,Silver
CLI-10300,28,Minas Gerais (MG),3,Gold
CLI-63498,58,Paraná (PR),1,Silver
CLI-60973,44,São Paulo (SP),4,Gold
CLI-94704,45,Bahia (BA),4,Gold
CLI-75465,32,Bahia (BA),3,Gold
CLI-97768,62,São Paulo (SP),1,Silver
CLI-53543,55,São Paulo (SP),4,Gold
CLI-87771,47,São Paulo (SP),4,Gold
CLI-90925,25,Paraná (PR),4,Gold
CLI-74144,42,Paraná (PR),1,Silver
CLI-94327,53,Bahia (BA),4,Gold
CLI-68402,50,São Paulo (SP),4,Gold
CLI-30039,47,Bahia (BA),2,Silver
CLI-84226,34,Paraná (PR),1,Silver
CLI-40539,47,São Paulo (SP),4,Gold
CLI-76384,32,Minas Gerais (MG),3,Gold
CLI-57968,26,Minas Gerais (MG),1,Silver
CLI-79429,56,Minas Gerais (MG),3,Gold
CLI-82238,64,São Paulo (SP),3,Gold
CLI-30129,21,São Paulo (SP),4,Gold
CLI-31748,33,Rio de Janeiro (RJ),4,Gold
CLI-34122,60,Paraná (PR),3,Gold
CLI-73654,22,Paraná (PR),1,Silver
CLI-29879,30,Paraná (PR),1,Silver
CLI-88271,48,Minas Gerais (MG),3,Gold
CLI-94494,57,Minas Gerais (MG),4,Gold
CLI-67833,64,Paraná (PR),3,Gold
